data type;object handle;response;prompt type;mismatch type;mismatch;detail
unviable_response;bottle-opener1_instance_25;the goal is that the kitchen is tidy and the bottle-opener is in the drawer;recurse_prompt;uninterpretable;parser;NA
unviable_response;bottle-opener1_instance_25;the goal is that the kitchen is tidy;recurse_prompt_end_branch;uninterpretable;parser;NA
unviable_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the dishwasher and the dishwasher is turned on;initial_prompt;uninterpretable;parser;NA
unviable_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the dishwasher and the dishwasher is on;recurse_prompt;uninterpretable;parser;NA
unviable_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the sink and the sink is full of soapy water;recurse_prompt;unknown-word;soapy;NA
unviable_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the sink and the sink is full of water;recurse_prompt;uninterpretable;parser;NA
unviable_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the sink and the sink is empty;recurse_prompt;affordance-mismatch;empty;sink1
unviable_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the sink and the sink is clean;recurse_prompt;uninterpretable;parser;NA
unviable_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the sink and the water is running;recurse_prompt;unknown-word;running;NA
unviable_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the sink and the water is running;recurse_prompt;ungrounded-object;water1;NA
unviable_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the sink and the water is turned on;repair_prompt;uninterpretable;parser;NA
unviable_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the dishwasher and the dishwasher is turned on;initial_prompt;uninterpretable;parser;NA
unviable_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the sink and the sink is full of soapy water;recurse_prompt;unknown-word;soapy;NA
unviable_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the sink and the sink is empty;recurse_prompt;affordance-mismatch;empty;sink1
unviable_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the sink and the sink is clean;recurse_prompt;uninterpretable;parser;NA
unviable_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the sink and the sink is clear;recurse_prompt;uninterpretable;parser;NA
unviable_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the dishwasher and the dishwasher is on;recurse_prompt;uninterpretable;parser;NA
unviable_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the sink and the sink is full of water;recurse_prompt;uninterpretable;parser;NA
unviable_response;ketchup1_instance_44;the goal is that there is no ketchup on the table;recurse_prompt;uninterpretable;parser;NA
unviable_response;ketchup1_instance_44;the goal is that ketchup is in fridge and fridge is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;ketchup1_instance_44;the goal is that ketchup is in fridge;recurse_prompt_end_branch;uninterpretable;parser;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the bin and the bin is closed;recurse_prompt;affordance-mismatch;closed;bin1
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash can and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the garbage can and the garbage can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trashcan and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the garbage and the garbage is closed;recurse_prompt;affordance-mismatch;closed;garbage1
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the wastebasket and the wastebasket is closed;repair_recurse_prompt;unknown-word;wastebasket;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the garbage can is closed;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the trashcan is empty;repair_recurse_prompt;unknown-word;trashcan;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the trash is empty;repair_prompt;affordance-mismatch;empty;garbage1
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the garbage can is empty;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the bin is empty;repair_recurse_prompt;affordance-mismatch;empty;bin1
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the trash can is empty;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the trashcan is clean;repair_recurse_prompt;unknown-word;trashcan;NA
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the bin and the bin is closed;recurse_prompt;affordance-mismatch;closed;bin1
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the recycling bin and the recycling bin is closed;recurse_prompt;affordance-mismatch;closed;bin1
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash can and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trashcan and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the recycling bin and the bin is closed;recurse_prompt;affordance-mismatch;closed;bin1
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash and the trash is closed;recurse_prompt;affordance-mismatch;closed;garbage1
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the garbage can and the garbage can is closed;repair_prompt;uninterpretable;parser;NA
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the wastebasket and the wastebasket is closed;repair_recurse_prompt;unknown-word;wastebasket;NA
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the garbage and the garbage can is closed;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash and the garbage can is closed;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash and the trash bin is closed;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash and the trashcan is empty;repair_recurse_prompt;unknown-word;trashcan;NA
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash and the trash is empty;repair_prompt;affordance-mismatch;empty;garbage1
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash and the garbage can is empty;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash and the trash can is empty;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash and the trashcan is clean;repair_recurse_prompt;unknown-word;trashcan;NA
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the recycling bin and the recycling bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the bin and the bin is closed;recurse_prompt;affordance-mismatch;closed;bin1
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the recycle-bin and the recycle-bin is closed;recurse_prompt;unknown-word;recycle-bin;NA
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the trashcan and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the trash can and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the trash and the trash is closed;recurse_prompt;affordance-mismatch;closed;garbage1
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the recycle-bin and the bin is closed;recurse_prompt;unknown-word;recycle-bin;NA
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the trash and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the trash and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the recycle bin and the recycle bin is closed;repair_recurse_prompt;unknown-word;recycle;NA
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the garbage can and the garbage can is closed;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the wastebasket and the wastebasket is closed;repair_recurse_prompt;unknown-word;wastebasket;NA
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the recycling bin and the bin is closed;repair_prompt;affordance-mismatch;closed;bin1
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the trash and the garbage can is closed;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the garbage and the garbage can is closed;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the sink and the sink is full of water;initial_prompt;uninterpretable;parser;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the dishwasher and the dishwasher is turned on;recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the sink and the sink is empty;recurse_prompt;affordance-mismatch;empty;sink1
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the sink and the sink is clean;recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the trash and the trash is closed;recurse_prompt;affordance-mismatch;closed;garbage1
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the sink and the sink is clear;recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the trash can and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the sink and the sink is full of soapy water;recurse_prompt;unknown-word;soapy;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the trashcan and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the dishwasher and the dishwasher is on;recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the trash and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the trash and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the garbage can and the garbage can is closed;repair_prompt;uninterpretable;parser;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the wastebasket and the wastebasket is closed;repair_recurse_prompt;unknown-word;wastebasket;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the garbage and the garbage can is closed;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the trash and the garbage can is closed;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-fork1_instance_19;the goal is that the plastic-fork is in the garbage can and the garbage can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-fork1_instance_19;the goal is that the plastic-fork is in the trash can and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-fork1_instance_19;the goal is that the plastic-fork is in the sink and the sink is clean;recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-fork1_instance_19;the goal is that the plastic-fork is in the trash and the trash is closed;recurse_prompt;affordance-mismatch;closed;garbage1
unviable_response;plastic-fork1_instance_19;the goal is that the plastic-fork is in the sink and the sink is empty;recurse_prompt;affordance-mismatch;empty;sink1
unviable_response;plastic-fork1_instance_19;the goal is that the plastic-fork is in the sink and the sink is full of water;recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-fork1_instance_19;the goal is that the plastic-fork is in the sink and the sink is clear;recurse_prompt;uninterpretable;parser;NA
unviable_response;plastic-fork1_instance_19;the goal is that the plastic-fork is in the garbage and the garbage is in the kitchen;recurse_prompt;affordance-mismatch;grabbable;garbage1
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the trash can and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the garbage can and the garbage can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the trashcan and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the trash and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the trash and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the garbage and the garbage is in the kitchen;recurse_prompt;affordance-mismatch;grabbable;garbage1
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the trash and the garbage can is closed;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the garbage and the garbage can is closed;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the trash and the trashcan is empty;repair_recurse_prompt;unknown-word;trashcan;NA
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the trash and the garbage can is empty;repair_prompt;uninterpretable;parser;NA
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the garbage and the garbage can is empty;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the trash and the trash is empty;repair_recurse_prompt;affordance-mismatch;empty;garbage1
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the recycling bin and the recycling bin is closed;recurse_prompt;affordance-mismatch;closed;bin1
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the trashcan and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the trash can and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the recycle bin and the recycle bin is closed;recurse_prompt;unknown-word;recycle;NA
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the recycling bin and the bin is closed;recurse_prompt;affordance-mismatch;closed;bin1
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the recycling bin and the table is clean;recurse_prompt;uninterpretable;parser;NA
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the recycle bin;recurse_prompt_end_branch;unknown-word;recycle;NA
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the garbage can and the garbage can is closed;repair_prompt;uninterpretable;parser;NA
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the wastebasket and the wastebasket is closed;repair_recurse_prompt;unknown-word;wastebasket;NA
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the garbage and the garbage is closed;repair_recurse_prompt;affordance-mismatch;closed;garbage1
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the trash can;repair_prompt;uninterpretable;parser;NA
