data_type;object handle;response;prompt type
viable_response;cream1_instance_15;the goal is that the cream is in the fridge and the fridge is closed;initial_prompt
viable_response;cream1_instance_15;the goal is that the cream is in the refrigerator and the refrigerator is closed;recurse_prompt
viable_response;cream1_instance_15;the goal is that the cream is in the refrigerator;repair_prompt_end_branch
viable_response;orange-juice1_instance_16;the goal is that the orange-juice is in the fridge and the fridge is closed;initial_prompt
viable_response;orange-juice1_instance_16;the goal is that the orange-juice is in the refrigerator and the refrigerator is closed;recurse_prompt
viable_response;orange-juice1_instance_16;the goal is that the orange-juice is in the fridge;initial_prompt_end_branch
viable_response;orange-juice1_instance_16;the goal is that the orange-juice is in the refrigerator;recurse_prompt_end_branch
viable_response;chips1_instance_17;the goal is that the chips are in the pantry and the pantry is closed;initial_prompt
viable_response;chips1_instance_17;the goal is that the chips are in the cupboard and the cupboard is closed;recurse_prompt
viable_response;chips1_instance_17;the goal is that the chips are in the pantry;repair_prompt
viable_response;chips1_instance_17;the goal is that the chips are in the fridge;repair_prompt
viable_response;chips1_instance_17;the goal is that the chips are in the cupboard;repair_prompt
viable_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the cupboard and the cupboard is closed;recurse_prompt
viable_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the pantry and the pantry is closed;initial_prompt
viable_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the pantry;repair_prompt
viable_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the fridge and the fridge is closed;repair_prompt
viable_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the fridge;repair_prompt_end_branch
viable_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the refrigerator and the refrigerator is closed;repair_recurse_prompt
viable_response;yogurt1_instance_19;the goal is that the yogurt is in the fridge and the fridge is closed;initial_prompt
viable_response;yogurt1_instance_19;the goal is that the yogurt is in the refrigerator and the refrigerator is closed;recurse_prompt
viable_response;yogurt1_instance_19;the goal is that the yogurt is in the refrigerator;repair_prompt
viable_response;eggs1_instance_20;the goal is that the eggs are in the fridge and the fridge is closed;initial_prompt
viable_response;eggs1_instance_20;the goal is that the eggs are in the refrigerator and the refrigerator is closed;recurse_prompt
viable_response;eggs1_instance_20;the goal is that the eggs are in the fridge;initial_prompt_end_branch
viable_response;eggs1_instance_20;the goal is that the eggs are in the refrigerator;recurse_prompt_end_branch
viable_response;flour1_instance_21;the goal is that the flour is in the cupboard and the cupboard is closed;initial_prompt
viable_response;flour1_instance_21;the goal is that the flour is in the pantry and the pantry is closed;recurse_prompt
viable_response;flour1_instance_21;the goal is that the flour is in the pantry;repair_prompt
