data type;object handle;response;prompt type
retrieved_response;apple-juice1_instance_46;the goal is that the apple-juice is in the fridge, the fridge is closed, and the kitchen is tidy;initial_prompt_temp
retrieved_response;apple-juice1_instance_46;the goal is that the apple-juice is in the fridge, and the fridge is closed;initial_prompt_temp
retrieved_response;apple-juice1_instance_46;the goal is that the apple-juice is in the fridge and the fridge is closed;initial_prompt
retrieved_response;bottle-opener1_instance_25;the goal is that the bottle-opener is in the drawer and the drawer is closed;initial_prompt
retrieved_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the dishwasher and the dishwasher is closed;initial_prompt_temp
retrieved_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the dishwasher and the dishwasher is turned on;initial_prompt
retrieved_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the cupboard and the cupboard is closed;initial_prompt_temp
retrieved_response;cereal-box1_instance_37;the goal is that the cereal-box is in the pantry and the pantry is closed;initial_prompt_temp
retrieved_response;cereal-box1_instance_37;the goal is that the cereal-box is in the cupboard and the cupboard is closed;initial_prompt
retrieved_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the sink and the sink is full of soapy water;initial_prompt_temp
retrieved_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the cupboard and the cupboard is closed;initial_prompt_temp
retrieved_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the dishwasher and the dishwasher is turned on;initial_prompt
retrieved_response;ketchup1_instance_44;the goal is that there is no ketchup on the table;initial_prompt_temp
retrieved_response;ketchup1_instance_44;the goal is that the ketchup is in the fridge;initial_prompt_temp
retrieved_response;ketchup1_instance_44;the goal is that the ketchup is in the fridge and the fridge is closed;initial_prompt
retrieved_response;milk1_instance_42;the goal is that the milk is in the fridge and the fridge is closed;initial_prompt
retrieved_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trashcan and the trashcan is closed;initial_prompt_temp
retrieved_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the trash is closed;initial_prompt
retrieved_response;paper-plate1_instance_18;the goal is that the paper-plate is in the bin and the bin is closed;initial_prompt_temp
retrieved_response;pepsi-can1_instance_15;the goal is that there is no pepsi-can on table and the fridge is closed;initial_prompt_temp
retrieved_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the bin and the bin is closed;initial_prompt_temp
retrieved_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the fridge and the fridge is closed;initial_prompt
retrieved_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the bin;initial_prompt_temp
retrieved_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the recycling-bin and the recycling-bin is closed;initial_prompt_temp
retrieved_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the recycling bin and the recycling bin is closed;initial_prompt
retrieved_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the sink and the sink is full of soapy water;initial_prompt_temp
retrieved_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the dishwasher and the dishwasher is turned on;initial_prompt_temp
retrieved_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the sink and the sink is full of water;initial_prompt
retrieved_response;plastic-fork1_instance_19;the goal is that the plastic-fork is in the sink and the sink is empty and dry;initial_prompt_temp
retrieved_response;plastic-fork1_instance_19;the goal is that the plastic-fork is in the garbage can and the garbage can is closed;initial_prompt_temp
retrieved_response;plastic-fork1_instance_19;the goal is that the plastic-fork is in the drawer and the drawer is closed;initial_prompt
retrieved_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the trash and the trash is closed;initial_prompt
retrieved_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the trashcan and the trashcan is closed;initial_prompt_temp
retrieved_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the garbage can and the garbage can is closed;initial_prompt_temp
retrieved_response;soda-can1_instance_13;the goal is that the soda-can is in the trash and the trash can is closed;initial_prompt_temp
retrieved_response;soda-can1_instance_13;the goal is that the soda-can is in the trash and the trash is closed;initial_prompt
retrieved_response;soda-can1_instance_13;the goal is that the soda-can is in the recycling bin and the recycling bin is closed;initial_prompt_temp
retrieved_response;apple-core1_instance_17;the goal is that the apple-core is in the garbage can and the garbage can is closed;initial_prompt_temp
retrieved_response;apple-core1_instance_17;the goal is that the apple-core is in the trash can and the trash can is closed;initial_prompt
retrieved_response;apple-core1_instance_17;the goal is that the apple-core is in the bin and the bin is closed;initial_prompt_temp
retrieved_response;box-of-aluminum-foil1_instance_38;the goal is that the box-of-aluminum-foil is in the pantry and the pantry is closed;initial_prompt_temp
retrieved_response;box-of-aluminum-foil1_instance_38;the goal is that the box-of-aluminum-foil is in the cupboard;initial_prompt_temp
retrieved_response;box-of-aluminum-foil1_instance_38;the goal is that the box-of-aluminum-foil is in the cupboard and the cupboard is closed;initial_prompt
retrieved_response;coffee-grinder1_instance_36;the goal is that the coffee-grinder is in the cupboard and the cupboard is shut;initial_prompt_temp
retrieved_response;coffee-grinder1_instance_36;the goal is that the coffee-grinder is in the drawer and the drawer is closed;initial_prompt_temp
retrieved_response;coffee-grinder1_instance_36;the goal is that the coffee-grinder is in the cupboard and the cupboard is closed;initial_prompt
retrieved_response;coke-can1_instance_14;the goal is that the coke-can is in the trash and the trash is closed;initial_prompt
retrieved_response;coke-can1_instance_14;the goal is that the coke-can is in the bin;initial_prompt_temp
retrieved_response;coke-can1_instance_14;the goal is that the coke-can is in the bin and the bin is closed;initial_prompt_temp
retrieved_response;corkscrew1_instance_26;the goal is that the corkscrew is in the drawer and the drawer is closed;initial_prompt
retrieved_response;crackers1_instance_41;the goal is that the crackers are in the pantry and the pantry is closed;initial_prompt_temp
retrieved_response;crackers1_instance_41;the goal is that the crackers are in the cupboard and the cupboard is closed;initial_prompt
retrieved_response;granola-bars1_instance_40;the goal is that the granola-bars are in the food-pantry, and the food-pantry is closed;initial_prompt_temp
retrieved_response;granola-bars1_instance_40;the goal is that the granola-bars are in the pantry and the pantry is closed;initial_prompt_temp
retrieved_response;granola-bars1_instance_40;the goal is that the granola-bars are in the cupboard and the cupboard is closed;initial_prompt
retrieved_response;half-and-half1_instance_43;the goal is that half-and-half is in the fridge and the fridge is closed;initial_prompt_temp
retrieved_response;half-and-half1_instance_43;the goal is that the half-and-half is in the fridge, and the fridge is closed;initial_prompt_temp
retrieved_response;half-and-half1_instance_43;the goal is that the half-and-half is in the fridge and the fridge is closed;initial_prompt
retrieved_response;jar-of-salsa1_instance_45;the goal is that the jar-of-salsa is in the fridge and the counter is clear;initial_prompt_temp
retrieved_response;jar-of-salsa1_instance_45;the goal is that the jar-of-salsa is in the fridge and the fridge is closed;initial_prompt
retrieved_response;mug1_instance_31;the goal is that the mug is in the dishwasher and the dishwasher is closed;initial_prompt_temp
retrieved_response;mug1_instance_31;the goal is that the mug is in the dishwasher and the dishwasher is turned on;initial_prompt
retrieved_response;newspaper1_instance_16;the goal is that the newspaper is in the recycling bin and the bin is closed;initial_prompt_temp
retrieved_response;newspaper1_instance_16;the goal is that the newspaper is in the recycling bin and the recycling bin is closed;initial_prompt
retrieved_response;newspaper1_instance_16;the goal is that the newspaper is in the recycling bin;initial_prompt_temp
retrieved_response;paper-cup1_instance_21;the goal is that the paper-cup is in the trash and the trash can is closed;initial_prompt_temp
retrieved_response;paper-cup1_instance_21;the goal is that the paper-cup is in the trash can and the trash can is closed;initial_prompt_temp
retrieved_response;paper-cup1_instance_21;the goal is that the paper-cup is in the trash and the trash is closed;initial_prompt
retrieved_response;plate1_instance_28;the goal is that the plate is in the sink and the water is running;initial_prompt_temp
retrieved_response;plate1_instance_28;the goal is that the plate is in the dishwasher and the dishwasher is turned on;initial_prompt
retrieved_response;steak-knife1_instance_30;the goal is that the steak-knife is in the drawer;initial_prompt_temp
retrieved_response;steak-knife1_instance_30;the goal is that the steak-knife is in the drawer and the drawer is closed;initial_prompt
retrieved_response;ceramic-bowl1_instance_35;the goal is that the ceramic-bowl is in the cabinet and the cabinet is closed;initial_prompt_temp
retrieved_response;ceramic-bowl1_instance_35;the goal is that the ceramic-bowl is in the cupboard and the cupboard is closed;initial_prompt
