data type;object handle;response;prompt type;mismatch type;mismatch;detail
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the recycling bin and the recycling bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the recycling bin, and the recycling bin is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the recycling bin and the rubbish bin is closed;initial_prompt;unknown-word;rubbish;NA
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the recycling bin and the recycling bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the recycling bin and the bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the bin and the bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash can and the trash can is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the bin and the bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash can and the trash can is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the sink and the sink is full of water;initial_prompt;uninterpretable;parser;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the sink and the sink is full of soapy water;initial_prompt;unknown-word;soapy;NA
unviable_response;bottle-opener1_instance_25;the goal is that the counter is clear and the bottle-opener is in the drawer;initial_prompt;uninterpretable;parser;NA
unviable_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the dishwasher and the dishwasher is turned on;initial_prompt;uninterpretable;parser;NA
unviable_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the dishwasher and the dishwasher is turned on;initial_prompt;uninterpretable;parser;NA
unviable_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the sink and the sink is full of water;initial_prompt;uninterpretable;parser;NA
unviable_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the dishwasher and the dishwasher is closed and started;initial_prompt;unknown-word;started;NA
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-pop-tart-box is in the trash can and the trash can is closed;initial_prompt;unknown-word;pop-pop-tart-box;NA
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;milk1_instance_42;the goal is that milk is in fridge and fridge is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;apple-juice1_instance_46;the goal is that the apple-juice is in the fridge, and the fridge is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;coke-can1_instance_14;the goal is that the coke-can is in the recycling bin and the recycling bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;coke-can1_instance_14;the goal is that the coke-can is in the recycling bin and the bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;coke-can1_instance_14;the goal is that the coke-can is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;newspaper1_instance_16;the goal is that the newspaper is in the recycling bin and the recycling bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;newspaper1_instance_16;the goal is that the newspaper is in the recycling bin and the bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;apple-core1_instance_17;the goal is that the apple-core is in the bin and the bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;apple-core1_instance_17;the goal is that the apple-core is in the trash can and the trash can is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;paper-cup1_instance_21;the goal is that the paper-cup is in the trash can and the trash can is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;paper-cup1_instance_21;the goal is that the paper-cup is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;paper-cup1_instance_21;the goal is that the paper-cup is in the trash and the kitchen is clean;initial_prompt;uninterpretable;parser;NA
unviable_response;corkscrew1_instance_26;the goal is for the corkscrew to be in the drawer;initial_prompt;unknown-word;be;NA
unviable_response;corkscrew1_instance_26;the goal is that the counter is clear and the corkscrew is in the drawer;initial_prompt;uninterpretable;parser;NA
unviable_response;plate1_instance_28;the goal is that the plate is in the dishwasher and the dishwasher is turned on;initial_prompt;uninterpretable;parser;NA
unviable_response;plate1_instance_28;the goal is that the plate is in the sink and the sink is full of water;initial_prompt;uninterpretable;parser;NA
unviable_response;mug1_instance_31;the goal is that the mug is in the dishwasher and the dishwasher is turned on;initial_prompt;uninterpretable;parser;NA
unviable_response;coffee-grinder1_instance_36;the goal is that the coffee-grinder is in the cabinet and the cabinet is closed;initial_prompt;ungrounded-object;cabinet1;NA
unviable_response;box-of-aluminum-foil1_instance_38;the goal is that the box-of-aluminum-foil is in the cabinet and the cabinet is closed;initial_prompt;ungrounded-object;cabinet1;NA
unviable_response;granola-bars1_instance_40;the goal is that the granola-bars are in the cabinet and the cabinet is closed;initial_prompt;ungrounded-object;cabinet1;NA
unviable_response;granola-bars1_instance_40;the goal is that the counter is clean and the granola-bars are put away;initial_prompt;uninterpretable;parser;NA
unviable_response;half-and-half1_instance_43;the goal is that the half-and-half is put away in the fridge and the fridge is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;paring-knife1_instance_22;the goal is that the kitchen is clean and the paring-knife is put away in the drawer;initial_prompt;uninterpretable;parser;NA
unviable_response;metal-fork1_instance_23;the goal is that the metal-fork is in the cutlery drawer and the dish rack is empty;initial_prompt;unknown-word;cutlery;NA
unviable_response;steak-knife1_instance_24;the goal is that steak-knife is in knife-block and knife-block is closed;initial_prompt;unknown-word;knife-block;NA
unviable_response;mug1_instance_32;the goal is that the mug is in the cabinet and the cabinet is closed;initial_prompt;ungrounded-object;cabinet1;NA
unviable_response;mug1_instance_32;the goal is that the mug is in the dishwasher and the dishwasher is turned on;initial_prompt;uninterpretable;parser;NA
unviable_response;glass-tumbler1_instance_33;the goal is that the glass-tumbler is in the cabinet and the cabinet is closed;initial_prompt;ungrounded-object;cabinet1;NA
unviable_response;ceramic-plate1_instance_34;the goal is that the ceramic-plate is in the dishwasher and the dishwasher is started;initial_prompt;unknown-word;started;NA
unviable_response;ceramic-plate1_instance_34;the goal is that the ceramic-plate is in the dish rack and the dish rack is in the cabinet;initial_prompt;ungrounded-object;cabinet1;NA
unviable_response;ceramic-plate1_instance_34;the goal is that the ceramic-plate is in the dish rack and the dish rack is in the cabinet;initial_prompt;affordance-mismatch;grabbable;rack1
unviable_response;ceramic-bowl1_instance_35;the goal is that the ceramic-bowl is in the cabinet and the cabinet is closed;initial_prompt;ungrounded-object;cabinet1;NA
