data type;object handle;response;prompt type;mismatch type;mismatch;detail
unviable_response;pen1_instance_10;the goal is that the pen is in the desk drawer and the drawer is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;pen1_instance_10;the goal is that the pen is in the pen holder on the desk;recurse_prompt;unknown-word;holder;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trashcan and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is under the desk;recurse_prompt;unknown-word;wastebasket;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the desk is clean;recurse_prompt;uninterpretable;parser;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is in the office;recurse_prompt;unknown-word;wastebasket;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the waste bin and the waste bin is closed;recurse_prompt;unknown-word;waste;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the office is clean;recurse_prompt;uninterpretable;parser;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is in the closet;recurse_prompt;unknown-word;wastebasket;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the office is tidy;recurse_prompt;uninterpretable;parser;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is in the correct place;recurse_prompt;unknown-word;wastebasket;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the desk is clear;recurse_prompt;uninterpretable;parser;NA
