data type;object handle;response;prompt type
retrieved_response;cream1_instance_15;the goal is that the cream is in the refrigerator and the door is closed;recurse_prompt
retrieved_response;cream1_instance_15;the goal is that the cream is in the refrigerator and the refrigerator is closed;recurse_prompt
retrieved_response;cream1_instance_15;the goal is that the cream is in the fridge and the fridge is closed;initial_prompt
retrieved_response;cream1_instance_15;the goal is that the cream is in the refrigerator and the door is open;repair_prompt
retrieved_response;cream1_instance_15;the goal is that the cream is in the refrigerator;repair_prompt_end_branch
retrieved_response;cream1_instance_15;the goal is that the cream is in the fridge and the fridge door is closed;repair_recurse_prompt
retrieved_response;orange-juice1_instance_16;the goal is that the orange-juice is in the refrigerator;recurse_prompt_end_branch
retrieved_response;orange-juice1_instance_16;the goal is that the orange-juice is in the refrigerator and the door is closed;recurse_prompt
retrieved_response;orange-juice1_instance_16;the goal is that the orange-juice is in the fridge;initial_prompt_end_branch
retrieved_response;orange-juice1_instance_16;the goal is that the orange-juice is in the refrigerator and the refrigerator is closed;recurse_prompt
retrieved_response;orange-juice1_instance_16;the goal is that the orange-juice is in the fridge and the fridge is closed;initial_prompt
retrieved_response;orange-juice1_instance_16;the goal is that the orange-juice is in the refrigerator and the door is open;repair_prompt
retrieved_response;orange-juice1_instance_16;the goal is that the orange-juice is in the refrigerator and the light is off;repair_recurse_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the cabinet;recurse_prompt_end_branch
retrieved_response;chips1_instance_17;the goal is that the chips are in the pantry and the door is closed;recurse_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the pantry and the bag is in the garbage;recurse_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the pantry and the bag is in the trash;recurse_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the pantry and the bag is in the recycling bin;recurse_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the pantry and the door to the pantry is closed;recurse_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the pantry and the pantry door is closed;recurse_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the cabinet and the cabinet is closed;recurse_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the cupboard and the cupboard is closed;recurse_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the pantry and the pantry is closed;initial_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the pantry;repair_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the fridge and the fridge is closed;repair_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the fridge;repair_prompt_end_branch
retrieved_response;chips1_instance_17;the goal is that the chips are in the cupboard and the door to the cupboard is closed;repair_recurse_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the cabinet and the door to the cabinet is closed;repair_recurse_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the cupboard;repair_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the fridge and the door to the fridge is closed;repair_recurse_prompt
retrieved_response;chips1_instance_17;the goal is that the chips are in the pantry and the bag is in the garbage can;repair_prompt
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the pantry and the bag is in the trash;recurse_prompt
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the kitchen cabinet and the cabinet is closed;recurse_prompt
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the pantry and the door is closed;recurse_prompt
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the kitchen cupboard and the kitchen cupboard is closed;recurse_prompt
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the pantry and the bag is in the recycling bin;recurse_prompt
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the pantry and the kitchen is clean;recurse_prompt
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the cabinet and the cabinet is closed;recurse_prompt
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the pantry and the pantry is closed;initial_prompt
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the cupboard and the cupboard is closed;recurse_prompt
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the pantry;repair_prompt
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the fridge and the fridge is closed;repair_prompt
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the fridge;repair_prompt_end_branch
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the refrigerator and the refrigerator is closed;repair_recurse_prompt
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the pantry and the bag is in the garbage can;repair_prompt
retrieved_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the pantry and the bag is in the garbage;repair_prompt_end_branch
retrieved_response;yogurt1_instance_19;the goal is that the yogurt is in the refrigerator and the door is closed;recurse_prompt
retrieved_response;yogurt1_instance_19;the goal is that the yogurt is in the refrigerator and the refrigerator is closed;recurse_prompt
retrieved_response;yogurt1_instance_19;the goal is that the yogurt is in the fridge and the fridge is closed;initial_prompt
retrieved_response;yogurt1_instance_19;the goal is that the yogurt is in the refrigerator;repair_prompt
retrieved_response;yogurt1_instance_19;the goal is that the yogurt is in the fridge and the fridge door is closed;repair_recurse_prompt
retrieved_response;eggs1_instance_20;the goal is that the eggs are in the refrigerator;recurse_prompt_end_branch
retrieved_response;eggs1_instance_20;the goal is that the eggs are in the fridge;initial_prompt_end_branch
retrieved_response;eggs1_instance_20;the goal is that the eggs are in the refrigerator and the door is closed;recurse_prompt
retrieved_response;eggs1_instance_20;the goal is that the eggs are in the refrigerator and the refrigerator is closed;recurse_prompt
retrieved_response;eggs1_instance_20;the goal is that the eggs are in the fridge and the fridge is closed;initial_prompt
retrieved_response;eggs1_instance_20;the goal is that the eggs are in the refrigerator and the door is open;repair_prompt
retrieved_response;flour1_instance_21;the goal is that the flour is in the kitchen cupboard;recurse_prompt_end_branch
retrieved_response;flour1_instance_21;the goal is that the flour is in the pantry and the door is closed;recurse_prompt
