data type;object handle;response;prompt type
used_response;cream1_instance_15;the goal is that the cream is in the fridge and the fridge is closed;initial_prompt
used_response;orange-juice1_instance_16;the goal is that the orange-juice is in the fridge and the fridge is closed;initial_prompt
used_response;chips1_instance_17;the goal is that the chips are in the pantry and the pantry is closed;initial_prompt
used_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the pantry and the pantry is closed;initial_prompt
used_response;yogurt1_instance_19;the goal is that the yogurt is in the fridge and the fridge is closed;initial_prompt
used_response;eggs1_instance_20;the goal is that the eggs are in the fridge and the fridge is closed;initial_prompt
used_response;flour1_instance_21;the goal is that the flour is in the pantry and the pantry is closed;initial_prompt
used_response;plastic-cups1_instance_22;the goal is that the plastic-cups are in cupboard and the cupboard is closed;initial_prompt
used_response;paper-plates1_instance_23;If the object is paper-plates then the goal is that the object is in the cupboard and the cupboard is closed.;human
used_response;can-of-beans1_instance_24;If the object is a can-of-beans then the goal is that the object is in the pantry and the pantry is closed.;human
used_response;granola1_instance_25;the goal is that the granola is in the pantry and the pantry is closed;initial_prompt
used_response;cheese1_instance_26;the goal is that the cheese is in the fridge and the fridge is closed;initial_prompt
used_response;butter1_instance_27;the goal is that the butter is in the fridge and the fridge is closed;initial_prompt
used_response;apple-cider1_instance_28;the goal is that the apple-cider is in the fridge and the fridge is closed;initial_prompt
used_response;hummus1_instance_29;the goal is that the hummus is in the fridge and the fridge is closed;initial_prompt
