data type;object handle;response;prompt type;mismatch type;mismatch;detail
unviable_response;pen1_instance_10;the goal is that the pen is in the desk drawer and the drawer is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;pen1_instance_10;the goal is that the pen is in the pen holder on the desk;recurse_prompt;unknown-word;holder;NA
unviable_response;pen1_instance_10;the goal is that the pen is in the pen cup on the desk;repair_prompt;uninterpretable;parser;NA
unviable_response;pen1_instance_10;the goal is that the pen is in the pencil holder on the desk;repair_recurse_prompt;unknown-word;holder;NA
unviable_response;pen1_instance_10;the goal is that the pen is in the cup on the desk;repair_recurse_prompt;ungrounded-object;cup1;NA
unviable_response;pen1_instance_10;the goal is that the pen is in the desk drawer;repair_recurse_prompt;uninterpretable;parser;NA
unviable_response;pen1_instance_10;the goal is that the pen is on the shelf;repair_recurse_prompt;ungrounded-object;shelf1;NA
unviable_response;pen1_instance_10;the goal is that the pen is in the pencil cup on the desk;repair_prompt;uninterpretable;parser;NA
unviable_response;pen1_instance_10;the goal is that the pen is in the mug on the desk;repair_recurse_prompt;ungrounded-object;mug1;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trashcan and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is under the desk;recurse_prompt;unknown-word;wastebasket;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash can is closed;recurse_prompt;uninterpretable;parser;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the desk is clean;recurse_prompt;uninterpretable;parser;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trashcan is closed;recurse_prompt;unknown-word;trashcan;NA
unviable_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is in the office;recurse_prompt;unknown-word;wastebasket;NA
