data type;object handle;response;prompt type
retrieved_response;apple-juice1_instance_46;the goal is that the apple-juice is in the fridge and the fridge is closed;initial_prompt
retrieved_response;bottle-opener1_instance_25;the goal is that the kitchen is tidy;recurse_prompt_end_branch
retrieved_response;bottle-opener1_instance_25;the goal is that the kitchen is tidy and the bottle-opener is in the drawer;recurse_prompt
retrieved_response;bottle-opener1_instance_25;the goal is that the bottle-opener is in the drawer and the drawer is closed;initial_prompt
retrieved_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the cupboard;recurse_prompt_end_branch
retrieved_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the sink and the water is running;recurse_prompt
retrieved_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the sink and the sink is clean;recurse_prompt
retrieved_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the sink and the sink is empty;recurse_prompt
retrieved_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the sink and the sink is full of water;recurse_prompt
retrieved_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the sink and the sink is full of soapy water;recurse_prompt
retrieved_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the dishwasher and the dishwasher is on;recurse_prompt
retrieved_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the dishwasher and the dishwasher is closed;recurse_prompt
retrieved_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the dishwasher and the dishwasher is turned on;initial_prompt
retrieved_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the cupboard and the cupboard is closed;recurse_prompt
retrieved_response;cereal-box1_instance_37;the goal is that the cereal-box is in the pantry and the pantry is closed;recurse_prompt
retrieved_response;cereal-box1_instance_37;the goal is that the cereal-box is in the cupboard and the cupboard is closed;initial_prompt
retrieved_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the sink and the sink is full of water;recurse_prompt
retrieved_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the dishwasher and the dishwasher is closed;recurse_prompt
retrieved_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the dishwasher and the dishwasher is on;recurse_prompt
retrieved_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the sink and the sink is clean;recurse_prompt
retrieved_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the sink and the sink is empty;recurse_prompt
retrieved_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the sink and the sink is full of soapy water;recurse_prompt
retrieved_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the cupboard and the cupboard is closed;recurse_prompt
retrieved_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the dishwasher and the dishwasher is turned on;initial_prompt
retrieved_response;ketchup1_instance_44;the goal is that ketchup is in fridge;recurse_prompt_end_branch
retrieved_response;ketchup1_instance_44;the goal is that ketchup is in fridge and fridge is closed;recurse_prompt
retrieved_response;ketchup1_instance_44;the goal is that there is no ketchup on the table;recurse_prompt
retrieved_response;ketchup1_instance_44;the goal is that the ketchup is in the fridge and the fridge is closed;initial_prompt
retrieved_response;milk1_instance_42;the goal is that the milk is in the fridge and the fridge is closed;initial_prompt
retrieved_response;paper-plate1_instance_18;the goal is that the paper-plate is in the garbage and the garbage is in the kitchen;recurse_prompt
retrieved_response;paper-plate1_instance_18;the goal is that the paper-plate is in the garbage;recurse_prompt_end_branch
retrieved_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash;initial_prompt_end_branch
retrieved_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the trashcan is closed;recurse_prompt
retrieved_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the trash can is closed;recurse_prompt
retrieved_response;paper-plate1_instance_18;the goal is that the paper-plate is in the garbage and the garbage is closed;recurse_prompt
retrieved_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trashcan and the trashcan is closed;recurse_prompt
retrieved_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the trash is closed;initial_prompt
retrieved_response;paper-plate1_instance_18;the goal is that the paper-plate is in the garbage can and the garbage can is closed;recurse_prompt
retrieved_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash can and the trash can is closed;recurse_prompt
retrieved_response;paper-plate1_instance_18;the goal is that the paper-plate is in the bin and the bin is closed;recurse_prompt
retrieved_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash;recurse_prompt_end_branch
retrieved_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash and the trash is closed;recurse_prompt
retrieved_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the recycling bin;recurse_prompt_end_branch
retrieved_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash and the trashcan is closed;recurse_prompt
retrieved_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash and the trash can is closed;recurse_prompt
retrieved_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the recycling bin and the bin is closed;recurse_prompt
retrieved_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trashcan and the trashcan is closed;recurse_prompt
retrieved_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash can and the trash can is closed;recurse_prompt
retrieved_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the recycling bin and the recycling bin is closed;recurse_prompt
retrieved_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the bin and the bin is closed;recurse_prompt
retrieved_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the fridge and the fridge is closed;initial_prompt
