data type;object handle;response;prompt type;mismatch type;mismatch;detail
unviable_response;cream1_instance_15;the goal is that the cream is in the refrigerator and the door is closed;recurse_prompt;ungrounded-object;door1;NA
unviable_response;orange-juice1_instance_16;the goal is that the orange-juice is in the refrigerator and the door is closed;recurse_prompt;ungrounded-object;door1;NA
unviable_response;chips1_instance_17;the goal is that the chips are in the cabinet and the cabinet is closed;recurse_prompt;ungrounded-object;cabinet1;NA
unviable_response;chips1_instance_17;the goal is that the chips are in the pantry and the door to the pantry is closed;recurse_prompt;ungrounded-object;door1;NA
unviable_response;chips1_instance_17;the goal is that the chips are in the pantry and the bag is in the recycling bin;recurse_prompt;affordance-mismatch;grabbable;bag1
unviable_response;chips1_instance_17;the goal is that the chips are in the pantry and the bag is in the recycling bin;recurse_prompt;affordance-mismatch;grabbable;bag1
unviable_response;chips1_instance_17;the goal is that the chips are in the pantry and the bag is in the recycling bin;recurse_prompt;affordance-mismatch;grabbable;bag1
unviable_response;chips1_instance_17;the goal is that the chips are in the pantry and the bag is in the trash;recurse_prompt;unknown-word;trash;NA
unviable_response;chips1_instance_17;the goal is that the chips are in the pantry and the bag is in the garbage;recurse_prompt;affordance-mismatch;grabbable;bag1
unviable_response;chips1_instance_17;the goal is that the chips are in the pantry and the bag is in the garbage;recurse_prompt;affordance-mismatch;grabbable;bag1
unviable_response;chips1_instance_17;the goal is that the chips are in the pantry and the bag is in the garbage;recurse_prompt;affordance-mismatch;grabbable;bag1
unviable_response;chips1_instance_17;the goal is that the chips are in the pantry and the door is closed;recurse_prompt;ungrounded-object;door1;NA
unviable_response;chips1_instance_17;the goal is that the chips are in the cabinet;recurse_prompt_end_branch;ungrounded-object;cabinet1;NA
unviable_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the cabinet and the cabinet is closed;recurse_prompt;ungrounded-object;cabinet1;NA
unviable_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the pantry and the bag is in the recycling bin;recurse_prompt;affordance-mismatch;grabbable;bag1
unviable_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the pantry and the bag is in the recycling bin;recurse_prompt;affordance-mismatch;grabbable;bag1
unviable_response;boxed-pasta1_instance_18;the goal is that the boxed-pasta is in the pantry and the bag is in the recycling bin;recurse_prompt;affordance-mismatch;grabbable;bag1
