data type;object handle;response;prompt type;mismatch type;mismatch;detail
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the recycling bin and the recycling bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the bin and the bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;plastic-bottle1_instance_12;the goal is that the plastic-bottle is in the recycle-bin and the recycle-bin is closed;initial_prompt;unknown-word;recycle-bin;NA
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the recycling bin and the recycling bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;soda-can1_instance_13;the goal is that the soda-can is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the recycling bin and the recycling bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;pepsi-can1_instance_15;the goal is that the pepsi-can is in the trash can and the trash can is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the bin and the bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash can and the trash can is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;paper-plate1_instance_18;the goal is that the paper-plate is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;plastic-fork1_instance_19;the goal is that the plastic-fork is in the sink and the sink is empty;initial_prompt;affordance-mismatch;empty;sink1
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the sink and the sink is full of water;initial_prompt;uninterpretable;parser;NA
unviable_response;plastic-cup1_instance_20;the goal is that the plastic-cup is in the sink and the sink is clean;initial_prompt;uninterpretable;parser;NA
unviable_response;bottle-opener1_instance_25;the goal is that the bottle-opener is put away in the drawer;initial_prompt;uninterpretable;parser;NA
unviable_response;bottle-opener1_instance_25;the goal is that the kitchen is tidy and the bottle-opener is put away in the drawer;initial_prompt;uninterpretable;parser;NA
unviable_response;ceramic-plate1_instance_27;the goal is that the ceramic-plate is in the dishwasher and the dishwasher is turned on;initial_prompt;uninterpretable;parser;NA
unviable_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the dishwasher and the dishwasher is turned on;initial_prompt;uninterpretable;parser;NA
unviable_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the sink and the sink is empty;initial_prompt;affordance-mismatch;empty;sink1
unviable_response;glass-tumbler1_instance_29;the goal is that the glass-tumbler is in the sink and the sink is empty and clean;initial_prompt;uninterpretable;parser;NA
unviable_response;cereal-box1_instance_37;the goal is that the cereal-box is in the cupboard and the cereal-box is closed;initial_prompt;affordance-mismatch;closed;cereal-box1
unviable_response;cereal-box1_instance_37;the goal is that the cereal-box is in the cupboard, and the cupboard is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-pop-tart-box is in the trash can and the trash can is closed;initial_prompt;unknown-word;pop-pop-tart-box;NA
unviable_response;pop-tart-box1_instance_39;the goal is that the pop-tart-box is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;coke-can1_instance_14;the goal is that the coke-can is in the bin and the bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;coke-can1_instance_14;the goal is that the coke-can is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;coke-can1_instance_14;the goal is that the coke-can is in the trash and the trash is in the kitchen;initial_prompt;affordance-mismatch;grabbable;garbage1
unviable_response;newspaper1_instance_16;the goal is that the newspaper is in the recycling bin and the recycling bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;newspaper1_instance_16;the goal is that the newspaper is in the recycling bin and the bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;apple-core1_instance_17;the goal is that the apple-core is in the bin and the bin is closed;initial_prompt;affordance-mismatch;closed;bin1
unviable_response;apple-core1_instance_17;the goal is that the apple-core is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;apple-core1_instance_17;the goal is that the apple-core is in the trash can and the trash can is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;paper-cup1_instance_21;the goal is that the paper-cup is in the trash and the trash is closed;initial_prompt;affordance-mismatch;closed;garbage1
unviable_response;paper-cup1_instance_21;the goal is that the paper-cup is in the trash can and the trash can is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;plate1_instance_28;the goal is that the plate is in the dishwasher and the dishwasher is turned on;initial_prompt;uninterpretable;parser;NA
unviable_response;plate1_instance_28;the goal is that the plate is in the sink and the sink is full of water;initial_prompt;uninterpretable;parser;NA
unviable_response;plate1_instance_28;the goal is that the plate is in the sink and the sink is clean;initial_prompt;uninterpretable;parser;NA
unviable_response;steak-knife1_instance_30;the goal is that the steak-knife is in the dishwasher and the dishwasher is turned on;initial_prompt;uninterpretable;parser;NA
unviable_response;mug1_instance_31;the goal is that the mug is in the dishwasher and the dishwasher is turned on;initial_prompt;uninterpretable;parser;NA
unviable_response;mug1_instance_31;the goal is that the mug is in the dishwasher and the dishwasher is on;initial_prompt;uninterpretable;parser;NA
unviable_response;box-of-aluminum-foil1_instance_38;the goal is that the box-of-aluminum-foil is in the cabinet and the cabinet is closed;initial_prompt;ungrounded-object;cabinet1;NA
unviable_response;granola-bars1_instance_40;the goal is that the box of granola-bars is in the pantry and the pantry is closed;initial_prompt;ungrounded-object;box1;NA
unviable_response;granola-bars1_instance_40;the goal is that the granola-bars are in the cupboard and the counter is clear();initial_prompt;unknown-word;clear();NA
unviable_response;half-and-half1_instance_43;the goal is that half-and-half is in fridge and fridge is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;jar-of-salsa1_instance_45;the goal is that the jar-of-salsa is in the fridge, and the fridge is closed;initial_prompt;uninterpretable;parser;NA
unviable_response;paring-knife1_instance_22;the goal is that all the dishes are in the dish rack and the dish rack is in the sink;initial_prompt;unknown-word;dishes;NA
unviable_response;metal-fork1_instance_23;the goal is that the metal-fork is in the dishwasher, the dishwasher is turned on, and the dishwasher is running;initial_prompt;unknown-word;running;NA
unviable_response;mug1_instance_32;the goal is that the mug is in the cabinet and the cabinet is closed;initial_prompt;ungrounded-object;cabinet1;NA
unviable_response;mug1_instance_32;the goal is that the mug is in the dishwasher and the dishwasher is turned on;initial_prompt;uninterpretable;parser;NA
unviable_response;glass-tumbler1_instance_33;the goal is that the glass-tumbler is in the dish rack and the dish rack is tidy;initial_prompt;uninterpretable;parser;NA
unviable_response;ceramic-plate1_instance_34;the goal is that the ceramic-plate is in the cabinet and the cabinet is closed;initial_prompt;ungrounded-object;cabinet1;NA
unviable_response;ceramic-bowl1_instance_35;the goal is that the ceramic-bowl is in the dish rack and the dish rack is in its place;initial_prompt;unknown-word;its;NA
