data type;object handle;response;prompt type
retrieved_response;pen1_instance_10;the goal is that the pen is in the pen holder on the desk;recurse_prompt
retrieved_response;pen1_instance_10;the goal is that the pen is in the desk drawer and the drawer is closed;initial_prompt
retrieved_response;pen1_instance_10;the goal is that the pen is in the drawer and the drawer is closed;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is in its proper place;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the waste basket and the waste basket is in the office;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is in the closet;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is in its place;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket;recurse_prompt_end_branch
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is in the office;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the desk is clear;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is in the correct place;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the office is tidy;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is in the closet;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the office is clean;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the waste bin and the waste bin is closed;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is in the office;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trashcan is closed;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the desk is clean;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the wastebasket and the wastebasket is under the desk;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash can is closed;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash and the trash is closed;initial_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trashcan and the trashcan is closed;recurse_prompt
retrieved_response;paper-coffee-cup1_instance_11;the goal is that the paper-coffee-cup is in the trash can and the trash can is closed;recurse_prompt
retrieved_response;pencil1_instance_12;the goal is that the pencil is in the pencil cup;recurse_prompt_end_branch
retrieved_response;pencil1_instance_12;the goal is that the pencil is in the pencil holder on the desk;recurse_prompt
retrieved_response;pencil1_instance_12;the goal is that the pencil is in the pencil cup on the desk;recurse_prompt
retrieved_response;pencil1_instance_12;the goal is that the pencil is in the pencil cup and the pencil cup is on the desk;recurse_prompt
retrieved_response;pencil1_instance_12;the goal is that the pencil is in the desk drawer and the desk drawer is closed;recurse_prompt
retrieved_response;pencil1_instance_12;the goal is that the pencil is in the drawer and the drawer is closed;recurse_prompt
retrieved_response;pencil1_instance_12;the goal is that the pencil is in the desk drawer and the drawer is closed;initial_prompt
retrieved_response;folder1_instance_13;the goal is that the folder is in the filing cabinet and the cabinet is closed;recurse_prompt
retrieved_response;folder1_instance_13;the goal is that the folder is in the filing cabinet and the drawer is closed;recurse_prompt
retrieved_response;folder1_instance_13;the goal is that the folder is in the filing cabinet and the filing cabinet is closed;recurse_prompt
retrieved_response;folder1_instance_13;the goal is that the folder is in the desk drawer and the drawer is closed;recurse_prompt
retrieved_response;folder1_instance_13;the goal is that the folder is in the drawer and the drawer is closed;initial_prompt
retrieved_response;book1_instance_14;the goal is that the book is in the bookshelf;recurse_prompt_end_branch
retrieved_response;book1_instance_14;the goal is that the book is in the bookshelf and the bookshelf is closed;recurse_prompt
retrieved_response;book1_instance_14;the goal is that the book is on the shelf;initial_prompt_end_branch
retrieved_response;book1_instance_14;the goal is that the book is on the shelf and the shelf is organized;recurse_prompt
retrieved_response;book1_instance_14;the goal is that the book is on the shelf and the shelf is closed;initial_prompt
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the wastebasket and the wastebasket is in its place;recurse_prompt
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the wastebasket and the desk is clean;recurse_prompt
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the wastebasket;recurse_prompt_end_branch
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the wastebasket and the wastebasket is in the correct place;recurse_prompt
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the trash;initial_prompt_end_branch
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the wastebasket and the wastebasket is in the closet;recurse_prompt
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the wastebasket and the wastebasket is closed;recurse_prompt
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the wastebasket and the wastebasket is in the office;recurse_prompt
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the trash and the trash is closed;recurse_prompt
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the wastebasket and the wastebasket is under the desk;recurse_prompt
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the trashcan and the trashcan is closed;recurse_prompt
retrieved_response;tissue1_instance_15;the goal is that the tissue is in the trash can and the trash can is closed;initial_prompt
retrieved_response;sprite-can1_instance_16;the goal is that the sprite-can is in the trash and the office is tidy;recurse_prompt
retrieved_response;sprite-can1_instance_16;the goal is that the sprite-can is in the recycling bin and the desk is clear;recurse_prompt
retrieved_response;sprite-can1_instance_16;the goal is that the sprite-can is in the trash and the desk is clean;recurse_prompt
retrieved_response;sprite-can1_instance_16;the goal is that the sprite-can is in the recycling bin and the desk is clean;recurse_prompt
retrieved_response;sprite-can1_instance_16;the goal is that the sprite-can is in the recycling bin;initial_prompt_end_branch
retrieved_response;sprite-can1_instance_16;the goal is that the sprite-can is in the trash and the trash is closed;recurse_prompt
retrieved_response;sprite-can1_instance_16;the goal is that the sprite-can is in the trash and the office is clean;recurse_prompt
retrieved_response;sprite-can1_instance_16;the goal is that the sprite-can is in the recycling bin and the recycling bin is closed;initial_prompt
retrieved_response;dictionary1_instance_17;the goal is that the dictionary is on the bookshelf;recurse_prompt_end_branch
retrieved_response;dictionary1_instance_17;the goal is that the dictionary is on the shelf;initial_prompt_end_branch
retrieved_response;dictionary1_instance_17;the goal is that the dictionary is on the shelf and the shelf is organized;recurse_prompt
retrieved_response;dictionary1_instance_17;the goal is that the dictionary is on the bookshelf and the bookshelf is closed;recurse_prompt
retrieved_response;dictionary1_instance_17;the goal is that the dictionary is in the drawer and the drawer is closed;recurse_prompt
retrieved_response;dictionary1_instance_17;the goal is that the dictionary is on the shelf and the shelf is closed;initial_prompt
retrieved_response;novel1_instance_18;the goal is that the novel is on the bookshelf;recurse_prompt_end_branch
retrieved_response;novel1_instance_18;the goal is that the novel is on the bookshelf and the desk is clear;recurse_prompt
retrieved_response;novel1_instance_18;the goal is that the book is on the shelf and the shelf is organized;recurse_prompt
retrieved_response;novel1_instance_18;the goal is that the book is on the shelf and the shelf is closed;recurse_prompt
retrieved_response;novel1_instance_18;the goal is that the novel is on the bookshelf and the bookshelf is organized;recurse_prompt
retrieved_response;novel1_instance_18;the goal is that the novel is on the shelf and the shelf is closed;recurse_prompt
retrieved_response;novel1_instance_18;the goal is that the novel is on the shelf and the shelf is organized;initial_prompt
retrieved_response;novel1_instance_18;the goal is that the novel is in the bookshelf and the bookshelf is closed;recurse_prompt
retrieved_response;novel1_instance_18;the goal is that the novel is on the bookshelf and the bookshelf is closed;recurse_prompt
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the trash can;recurse_prompt_end_branch
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the trash and the trash is closed;recurse_prompt
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the recycle bin and the desk is clean;recurse_prompt
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the trash;recurse_prompt_end_branch
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the recycle bin;recurse_prompt_end_branch
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the recycling bin and the desk is clear;recurse_prompt
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the recycling bin and the desk is clean;recurse_prompt
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the trashcan and the trashcan is closed;recurse_prompt
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the recycle bin and the recycle bin is closed;recurse_prompt
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the trash can and the trash can is closed;recurse_prompt
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the recycling bin;initial_prompt_end_branch
retrieved_response;plastic-water-bottle1_instance_19;the goal is that the plastic-water-bottle is in the recycling bin and the recycling bin is closed;initial_prompt
